realname,dbname,unit,lower,upper,arithmetic_mean,geometric_mean,lionel_carbon_formula
LPM biovolume (3.25-4.1 mm) [mm3 l-1],biovol36,mm,3.25,4.1,3.675,3.6503424496887957,1735.405872426093
LPM biovolume (4.1-5.16 mm) [mm3 l-1],biovol37,mm,4.1,5.16,4.63,4.599565196841979,4186.594915381355
LPM biovolume (5.16-6.5 mm) [mm3 l-1],biovol38,mm,5.16,6.5,5.83,5.791372894228103,10071.812657674202
LPM biovolume (6.5-8.19 mm) [mm3 l-1],biovol39,mm,6.5,8.19,7.345,7.296231904209185,24283.752073482163
LPM biovolume (8.19-10.3 mm) [mm3 l-1],biovol40,mm,8.19,10.3,9.245000000000001,9.184606687278448,58367.45523828755
LPM biovolume (10.3-13 mm) [mm3 l-1],biovol41,mm,10.3,13,11.65,11.571516754514077,140743.06748646204
LPM biovolume (13-16.4 mm) [mm3 l-1],biovol42,mm,13,16.4,14.7,14.601369798755183,341389.08349352103
LPM biovolume (16.4-20.6 mm) [mm3 l-1],biovol43,mm,16.4,20.6,18.5,18.380424369420854,820549.1469914692
LPM biovolume (20.6-26 mm) [mm3 l-1],biovol44,mm,20.6,26,23.3,23.143033509028154,1974018.8511072237
LPM biovolume (>26 mm) [mm3 l-1],biovol45,mm,NA,1,NA,NA,NA
